judgment_id,query_id,query,type,image_id,image_path,source_systems,best_rank,ranks_by_system,max_score,matched_keywords,detected_objects,brightness,contrast,saturation,warmth,relevance,confidence,comment
q002__DfYPBHaOR04,Q002,dark moody forest,semantic_text,DfYPBHaOR04,data\unsplash-lite\images\DfYPBHaOR04.jpg,faiss_style_rerank|faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,2,faiss_baseline:4|faiss_style_rerank:2|qdrant_filtered:4|qdrant_object_rerank:4|qdrant_semantic:4,0.420486,abies;astronomy;birch;bush;conifer;dawn;dusk;fir;fire;flame;flare;fog;forest;forest fire;ground;grove;jungle;land;light;nature;night;outdoors;plant;red sky;silhouette;sky;sunlight;sunset;tree;tree trunk;vegetation;weather;woodland,,0.253275,0.211920,0.250690,0.506376,2,high,
q002__Jea6w_Z72xw,Q002,dark moody forest,semantic_text,Jea6w_Z72xw,data\unsplash-lite\images\Jea6w_Z72xw.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic|faiss_style_rerank,2,faiss_baseline:2|faiss_style_rerank:4|qdrant_filtered:2|qdrant_object_rerank:2|qdrant_semantic:2,0.415313,abies;art;conifer;dock;fir;flare;fog;ice;land;larch;light;mist;mountain;nature;outdoors;painting;pier;pine;plant;port;redwood;scenery;snow;spruce;texture;tree;vegetation;water;waterfront;weather;winter,,0.251968,0.167276,0.299098,0.466935,2,high,
q002__ew7XKxj0Lsg,Q002,dark moody forest,semantic_text,ew7XKxj0Lsg,data\unsplash-lite\images\ew7XKxj0Lsg.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,3,faiss_baseline:3|qdrant_filtered:3|qdrant_object_rerank:3|qdrant_semantic:3,0.317704,animal;astronomy;atmosphere;can;conifer;dungeon;ecosystem;firefly;flare;forest;green;grove;insect;invertebrate;jungle;land;light;nature;nebula;night;old growth forest;outdoors;outer space;plant;rainforest;redwood;scenery;space;tin;trash can;tree;tree trunk;universe;vegetation;weather;woodland,,0.115330,0.121538,0.315487,0.497768,2,high,
q002__oO15xC38wj4,Q002,dark moody forest,semantic_text,oO15xC38wj4,data\unsplash-lite\images\oO15xC38wj4.jpg,faiss_style_rerank|faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,3,faiss_baseline:7|faiss_style_rerank:3|qdrant_filtered:7|qdrant_object_rerank:7|qdrant_semantic:7,0.417293,atmosphere;atmospheric phenomenon;cityscape;cloudy;composition;conifer;darkness;dirt road;flora;fog;foggy;foliage;forest;gravel;hiking;journey;jungle;land;light;mist;morning;mountain;nature;outdoors;pine;pines;plant;road;sky;sunrise;tree;urban;vegetation;winter;woodland,,0.187838,0.173714,0.113007,0.487614,2,high,
q002__39utYXTgMYo,Q002,dark moody forest,semantic_text,39utYXTgMYo,data\unsplash-lite\images\39utYXTgMYo.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,5,faiss_baseline:5|qdrant_filtered:5|qdrant_object_rerank:5|qdrant_semantic:5,0.316155,animal;call of duty;fire;flare;fog;forest fire;ground;insect;invertebrate;jungle;land;light;mist;nature;outdoors;plant;pollution;sunlight;tree;vegetation;weather,,0.127321,0.071568,0.166128,0.491696,2,high,
q002__wB6B3AqXjy0,Q002,dark moody forest,semantic_text,wB6B3AqXjy0,data\unsplash-lite\images\wB6B3AqXjy0.jpg,faiss_style_rerank|faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,5,faiss_baseline:8|faiss_style_rerank:5|qdrant_filtered:8|qdrant_object_rerank:8|qdrant_semantic:8,0.415136,abies;alone;clouds;cold;conifer;dark;fir;flare;fog;forest;haunted;haunting;isolated;jungle;land;light;marion county;mist;nature;oregon;outdoors;plant;redwood;remote;silhouette;smog;smoke;sphere;spooky;sunlight;tree;trees;vegetation;weather;wild;wildnerness;woodland;woods,,0.294509,0.242472,0.214815,0.486547,2,high,
q002__1_a_WAqHIUU,Q002,dark moody forest,semantic_text,1_a_WAqHIUU,data\unsplash-lite\images\1_a_WAqHIUU.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,6,faiss_baseline:6|qdrant_filtered:6|qdrant_object_rerank:6|qdrant_semantic:6,0.313228,abies;agaric;animal;art;bog;creek;den;ditch;eerie;explore;fir;flare;fog;forest;fungus;glow;grass;ground;grove;jungle;land;light;mammal;marsh;mushroom;nature;outdoors;painting;plant;rain;rain forest;redwood;root;scenery;soil;stream;sunlight;swamp;tree;tree stump;trees;vegetation;water;weather;wilderness;wood;woodland,,0.182226,0.103969,0.120287,0.499154,2,high,
q002__wL8Yx2tOmYI,Q002,dark moody forest,semantic_text,wL8Yx2tOmYI,data\unsplash-lite\images\wL8Yx2tOmYI.jpg,faiss_style_rerank,6,faiss_style_rerank:6,0.414282,backgrounds;flare;fog;forest;grove;jungle;land;light;mist;nature;outdoors;plant;silhouette;sunlight;tree;vegetation;wallpapers;weather;woodland,,0.212215,0.214929,0.449764,0.463805,1,medium,not so dark
q002__mtZ_nK35Kmo,Q002,dark moody forest,semantic_text,mtZ_nK35Kmo,data\unsplash-lite\images\mtZ_nK35Kmo.jpg,faiss_style_rerank,7,faiss_style_rerank:7,0.412238,abies;animal;art;conifer;dark;deer;fir;flare;fog;forest;grove;jungle;land;light;mammal;mood;moody;mystery;nature;outdoors;outside;painting;path;plant;redwood;secret;shadow;sunlight;tree;tree trunk;treeline;trees;vegetation;weather;wildlife;woodland;woods,,0.201688,0.158978,0.410807,0.526756,1,high,not dark
q002__eDfb2vObvvs,Q002,dark moody forest,semantic_text,eDfb2vObvvs,data\unsplash-lite\images\eDfb2vObvvs.jpg,faiss_style_rerank,8,faiss_style_rerank:8,0.411346,abies;conifer;dark;fir;fog;forest;mist;myst;mystical;nature;outdoors;pine;plant;schwarzwald;shadow;spruce;tree;weather,,0.282385,0.297144,0.089584,0.491220,2,high,
q002__6pgpjcPNKrs,Q002,dark moody forest,semantic_text,6pgpjcPNKrs,data\unsplash-lite\images\6pgpjcPNKrs.jpg,faiss_style_rerank,9,faiss_style_rerank:9,0.410598,abies;black and white;cloud;cloudy;conifer;dark;dark tones;fir;flora;foggy;forest;grey;grove;land;misty;misty trees;monochrome photography;nature;oak;outdoors;pine;plant;rainforest;silhouette;sky;snowing;spruce;spruce fir forest;tree;trees;vegetation;winter;winter tones;woodland;woody plant;yew,,0.342209,0.367922,0.222423,0.493803,1,medium,not very dark
q002__UhP0GH9mcCw,Q002,dark moody forest,semantic_text,UhP0GH9mcCw,data\unsplash-lite\images\UhP0GH9mcCw.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,9,faiss_baseline:9|qdrant_filtered:9|qdrant_object_rerank:9|qdrant_semantic:9,0.311578,abies;armored;army;arrow;boat;bog;call of duty;conifer;creek;exercise;face;fir;fire;fishing;fitness;forest;forest fire;grove;hiking;human;hunting;jogging;jungle;land;marsh;military;military uniform;nature;outdoors;paintball;path;people;person;photo;photography;plant;portrait;rainforest;redwood;rock;sitting;sniper;snow;soldier;sport;sports;standing;stream;sunlight;swamp;symbol;trail;transportation;tree;vegetation;vehicle;water;wilderness;wood;woodland;working out,person,0.143870,0.163017,0.279987,0.512963,2,high,
q002__3YfPEn2_HwY,Q002,dark moody forest,semantic_text,3YfPEn2_HwY,data\unsplash-lite\images\3YfPEn2_HwY.jpg,faiss_style_rerank,10,faiss_style_rerank:10,0.410467,animal;conifer;ecosystem;fern;flare;fog;forest;green;ground;grove;insect;invertebrate;jungle;land;leaf;light;mist;nature;nature reserve;old growth forest;outdoors;plant;rainforest;redwood;scenery;tree;tree trunk;vegetation;weather;willow;woodland,,0.184629,0.196823,0.341633,0.504268,2,high,
q002__fG34nL4nDZY,Q002,dark moody forest,semantic_text,fG34nL4nDZY,data\unsplash-lite\images\fG34nL4nDZY.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,10,faiss_baseline:10|qdrant_filtered:10|qdrant_object_rerank:10|qdrant_semantic:10,0.311470,abies;accipiter;animal;art;birch;bird;blue jay;boardwalk;bog;bridge;building;cabin;camping;conifer;cottage;creek;deer;ditch;elk;fir;forest;ground;grove;house;housing;ice;jay;jungle;land;mammal;marsh;nature;outdoors;painting;path;plant;redwood;river;road;scenery;slate;stream;swamp;trail;tree;tree trunk;vegetation;water;wildlife;wolf;wood;woodland,,0.166726,0.080461,0.165167,0.514972,2,high,
q003__EMYWkp-RJiY,Q003,vibrant summer portrait,semantic_text,EMYWkp-RJiY,data\unsplash-lite\images\EMYWkp-RJiY.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic|faiss_style_rerank,1,faiss_baseline:1|faiss_style_rerank:2|qdrant_filtered:1|qdrant_object_rerank:1|qdrant_semantic:1,0.420917,beauty;blossom;daisies;daisy;flower;flower arrangement;flower bouquet;geranium;girl;human;human hair color;indoors;interior design;nature;person;plant;red;ruiva;smelling;smile;spring;sunflower;sunflower field;sunlight;treasure flower;yellow,person,0.417826,0.173612,0.521358,0.643991,2,high,
q003__Id26ZWag-LQ,Q003,vibrant summer portrait,semantic_text,Id26ZWag-LQ,data\unsplash-lite\images\Id26ZWag-LQ.jpg,faiss_style_rerank,1,faiss_style_rerank:1,0.429753,apparel;art;asteraceae;back;blossom;citrus fruit;clothing;daffodil;daisies;daisy;display;electronics;flower;flower arrangement;flower bouquet;food;fruit;geranium;grapefruit;hair;human;ikebana;iris;jar;lcd screen;leaf;maple leaf;monitor;ornament;person;petal;plant;pottery;produce;rose;screen;sunflower;tree;tulip;vase,person,0.315219,0.255968,0.767171,0.639392,2,high,
q003__0BQF3phvLC8,Q003,vibrant summer portrait,semantic_text,0BQF3phvLC8,data\unsplash-lite\images\0BQF3phvLC8.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,2,faiss_baseline:2|qdrant_filtered:2|qdrant_object_rerank:2|qdrant_semantic:2,0.285158,accessories;accessory;asteraceae;beauty;blossom;closeup;daisies;daisy;eyes;face;female;flower;flower arrangement;flower bouquet;foxglove;garden;girl;goggles;grass;human;leisure activities;outdoors;person;plant;poppy;portrait;smelling;sunflower,person;sandwich,0.474091,0.251366,0.382311,0.603717,2,high,
q003__XtZ5emHC1xg,Q003,vibrant summer portrait,semantic_text,XtZ5emHC1xg,data\unsplash-lite\images\XtZ5emHC1xg.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,3,faiss_baseline:3|qdrant_filtered:3|qdrant_object_rerank:3|qdrant_semantic:3,0.282392,apparel;asteraceae;blossom;building;city;clothing;daisies;daisy;dress;face;female;field;flower;girl;human;metropolis;nature;person;petal;photo;photography;plant;portrait;summer;sunflower;town;urban;woman,person,0.541692,0.264786,0.249996,0.549386,2,high,
q003__bBOr3l74rgw,Q003,vibrant summer portrait,semantic_text,bBOr3l74rgw,data\unsplash-lite\images\bBOr3l74rgw.jpg,faiss_style_rerank,3,faiss_style_rerank:3,0.408802,animal;apparel;bee;blossom;bokeh;bonnet;clothing;cowboy hat;flower;giel;girl;hat;honey bee;human;insect;invertebrate;nature;person;plant;sun hat;sunflower;sunflowerfield;sunflowers;sunset;warmlight,fire hydrant,0.209750,0.164758,0.658727,0.593945,1,medium,not so vibrant
q003__HAZQOdgr7ls,Q003,vibrant summer portrait,semantic_text,HAZQOdgr7ls,data\unsplash-lite\images\HAZQOdgr7ls.jpg,faiss_baseline|faiss_style_rerank|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,4,faiss_baseline:4|faiss_style_rerank:4|qdrant_filtered:4|qdrant_object_rerank:4|qdrant_semantic:4,0.403079,apparel;blossom;bonnet;clothing;daisies;daisy;female;flower;flower arrangement;flower bouquet;hat;human;person;plant;sun hat;sunflower,person,0.428896,0.240826,0.518903,0.613465,2,medium,
q003__JIMpO5hHezA,Q003,vibrant summer portrait,semantic_text,JIMpO5hHezA,data\unsplash-lite\images\JIMpO5hHezA.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic|faiss_style_rerank,5,faiss_baseline:5|faiss_style_rerank:9|qdrant_filtered:5|qdrant_object_rerank:5|qdrant_semantic:5,0.393982,apparel;blossom;clothing;flower;hat;human;person;plant;sun hat;sunflower,person,0.455781,0.207039,0.447962,0.612249,2,high,
q003__yrdstGC_rg,Q003,vibrant summer portrait,semantic_text,_yrdstGC_rg,data\unsplash-lite\images\_yrdstGC_rg.jpg,faiss_style_rerank,5,faiss_style_rerank:5,0.400717,acanthaceae;apparel;arm;art;back;blossom;bud;canvas;cherry;cherry blossom;citrus fruit;clothing;crowd;dahlia;daisies;daisy;dress;dye;evening dress;fashion;female;festival;finger;floral design;flower;flower arrangement;flower bouquet;food;fruit;geranium;girl;gown;graphics;grass;hair;hand;hibiscus;human;leaf;leash;long sleeve;night life;paint container;pattern;peony;person;petal;plant;poppy;purple;robe;rose;shoulder;skin;sleeve;spring;sprout;sunlight;texture;vegetation;woman;wrist,person,0.275494,0.200456,0.611867,0.602027,2,high,
q003__MiFYoc9N-G0,Q003,vibrant summer portrait,semantic_text,MiFYoc9N-G0,data\unsplash-lite\images\MiFYoc9N-G0.jpg,faiss_style_rerank,6,faiss_style_rerank:6,0.399555,anemone;aster;beauty;blossom;countryside;daisies;daisy;dandelion;dandelions;dating;dress;farm;female;field;flower;girl;grass;grassland;green;human;light;meadow;model;nature;outdoors;person;petal;plant;pollen;portrait;rural;scenery;spring;summer;sunlight;sunshine,,0.740778,0.182444,0.491471,0.692094,2,high,
q003__fLPDz_sPY2U,Q003,vibrant summer portrait,semantic_text,fLPDz_sPY2U,data\unsplash-lite\images\fLPDz_sPY2U.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,6,faiss_baseline:6|qdrant_filtered:6|qdrant_object_rerank:6|qdrant_semantic:6,0.281696,amazingplace;apparel;asteraceae;back;blossom;camera;clothing;daisies;daisy;dress;electronics;face;female;field;flower;ginger;girl;grass;human;nature;person;petal;photo;photography;plant;poppy;portrait;skin;summer;sunflower;tattoo;vegetation;woman;yellow,person,0.536308,0.221515,0.324862,0.594067,2,high,
q003__MafaEt-ncUU,Q003,vibrant summer portrait,semantic_text,MafaEt-ncUU,data\unsplash-lite\images\MafaEt-ncUU.jpg,faiss_style_rerank,7,faiss_style_rerank:7,0.397199,animal;bee;blossom;daisies;daisy;finger;flower;honey bee;human;insect;invertebrate;person;petal;plant;pollen;sunflower;treasure flower,,0.412262,0.233353,0.551215,0.671579,1,medium,"vibrant, summer, but not a portrait"
q003__72NMJyq6mU,Q003,vibrant summer portrait,semantic_text,_72NMJyq6mU,data\unsplash-lite\images\_72NMJyq6mU.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,7,faiss_baseline:7|qdrant_filtered:7|qdrant_object_rerank:7|qdrant_semantic:7,0.280865,adventure;apiaceae;apparel;aster;asteraceae;blonde;blossom;building;child;clothing;cottage;countryside;daffodil;daisies;daisy;display;dress;electronics;farm;female;field;finger;flower;flower arrangement;flower bouquet;geranium;girl;grassland;house;housing;human;jar;kid;lcd screen;leisure activities;meadow;monitor;nature;outdoors;person;petal;plant;planter;pollen;poppy;potted plant;pottery;rural;screen;spring;teen;treasure flower;vase;woman,person,0.397834,0.271177,0.275868,0.547722,2,medium,not so vibrant
q003__IkycrBgyo6w,Q003,vibrant summer portrait,semantic_text,IkycrBgyo6w,data\unsplash-lite\images\IkycrBgyo6w.jpg,faiss_baseline|qdrant_filtered|qdrant_object_rerank|qdrant_semantic,8,faiss_baseline:8|qdrant_filtered:8|qdrant_object_rerank:8|qdrant_semantic:8,0.280138,blossom;female;flare;flower;girl;human;light;person;petal;plant;sunflower;sunlight,person,0.481613,0.161276,0.282586,0.584057,2,high,
q003__wlkFoaFbqNk,Q003,vibrant summer portrait,semantic_text,wlkFoaFbqNk,data\unsplash-lite\images\wlkFoaFbqNk.jpg,faiss_style_rerank,8,faiss_style_rerank:8,0.395714,acanthaceae;animal;araceae;arbour;asteraceae;astragalus;background;backgrounds;blossom;bristol beach club;building;bush;conifer;fern;flower;font;forest;garden;grass;green;grove;herbal;herbs;hotel;jar;jungle;land;leaf;living wall;moss;nature;outdoors;plant;planter;potted plant;pottery;rainforest;resort;river;summer;summer font;summer text;text;tree;tropical;vase;vegetation;wallpapers;water;woodland;word;yew;zoo,frisbee,0.185665,0.171572,0.697965,0.521457,0,high,"not a portrait, just text in the grass"
